Healthcare Industry Editor,"Standard & Poor's International, LLC",Yau Tsim Mong Area,02-Nov-18,https://hk.jobsdb.com/hk/en/job/healthcare-industry-editor-100003006606836,NaN,jobsdb
Account Director / Associate Account Director (Corporate Practice),Bentley Communications Limited,Sham Shui Po Area,02-Nov-18,https://hk.jobsdb.com/hk/en/job/account-director-associate-account-director-100003006604122,NaN,jobsdb
Sr. Public Relations Executive,Global Sources,Southern Area,30-Oct-18,https://hk.jobsdb.com/hk/en/job/sr-public-relations-executive-100003006598190,NaN,jobsdb
Android Developer,Dow Jones & Co,Wan Chai Area,26-Oct-18,https://hk.jobsdb.com/hk/en/job/android-developer-100003006587113,NaN,jobsdb
"Manager, External Relations (Ref. M(ER))",Urban Renewal Authority,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-external-relations-100003006577393,NaN,jobsdb
"Lead Manager, Media Relations (Corporate Development Division) (Ref: CDD213/JDB/221018)",Hong Kong Productivity Council,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/lead-manager-media-relations-100003006575784,NaN,jobsdb
Content Expert,Telum Media HK Limited,Eastern Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/content-expert-100003006571840,NaN,jobsdb
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567298,NaN,jobsdb
Media Relations Executive,Hong Kong Trade Development Council,Wan Chai Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/media-relations-executive-100003006566789,NaN,jobsdb
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567297,NaN,jobsdb
